"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: IDMP Mapping","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"MedicinalProductDefinition","","","",0,*,"","","","","Detailed definition of a medicinal product","A medicinal product, being a substance or combination of substances that is intended to treat, prevent or diagnose a disease, or to restore, correct or modify physiological functions by exerting a pharmacological, immunological or metabolic action. This resource is intended to define and detail such products and their properties, for uses other than direct patient care (e.g. regulatory use, or drug catalogs).","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Medicinal Product and Investigational Medicinal Product","administrative.medication","Entity. Role, or Act"
"MedicinalProductDefinition.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Typically, the resource has an id except for cases like the create operation, conditional updates.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"MedicinalProductDefinition.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProductDefinition.identifier.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | secondary | old (If known)","The purpose of this identifier.","Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""official""/>","","","",,"required","","http://hl7.org/fhir/ValueSet/identifier-use|4.6.0","",,,,"Identifier.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Role.code or implied by context"
"MedicinalProductDefinition.identifier.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Description of identifier","A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/identifier-type","",,,,"Identifier.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Role.code or implied by context"
"MedicinalProductDefinition.identifier.system","","","",1,1,"","","Y","uri {[]} {[]}
","The namespace for the identifier value","Establishes the namespace for the value - that is, a URL that describes a set values that are unique.","Identifier.system is always case sensitive.","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://spor.ema.europa.eu/pmswi""/>","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.root or Role.id.root"
"MedicinalProductDefinition.identifier.value","","","",0,1,"","","Y","string {[]} {[]}
","Marketing Authorisation","The portion of the identifier typically relevant to the user and which is unique within the context of the system.","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](http://build.fhir.org/extension-rendered-value.html). Identifier.value is to be treated as case sensitive unless knowledge of the Identifier.system allows the processer to be confident that non-case-sensitive processing is safe.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)"
"MedicinalProductDefinition.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when id is/was valid for use","Time period during which identifier is/was valid for use.","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Role.effectiveTime or implied by context"
"MedicinalProductDefinition.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Organization that issued id (may be just text)","Organization that issued/manages the identifier.","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper"
"MedicinalProductDefinition.type","","","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","Regulatory type, e.g. Investigational or Authorized","Regulatory type, e.g. Investigational or Authorized.","","","","","","","","","",,"example","Overall defining type of this medicinal product.","http://hl7.org/fhir/ValueSet/medicinal-product-type","",,,,"MedicinalProductDefinition.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(indicates if this is Medicinal Product or an Investigational Medicinal Product)"
"MedicinalProductDefinition.domain","","","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","If this medicine applies to human or veterinary uses","If this medicine applies to human or veterinary uses.","","","","","","","","","",,"example","Applicable domain for this product (e.g. human, veterinary).","http://hl7.org/fhir/ValueSet/medicinal-product-domain","",,,,"MedicinalProductDefinition.domain",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"MedicinalProductDefinition.version","","","",0,1,"","","Y","string {[]} {[]}
","A business identifier relating to a specific version of the product","A business identifier relating to a specific version of the product, this is commonly used to support revisions to an existing product.","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Medicinal Product.Header.Version Number"
"MedicinalProductDefinition.status","","","",0,1,"Y","Y","Y","CodeableConcept {[]} {[]}
","The status within the lifecycle of this product record","The status within the lifecycle of this product record. A high-level status, this is not intended to duplicate details carried elsewhere such as legal status, or authorization status.","","","","","","","","","",,"preferred","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status","",,,,"MedicinalProductDefinition.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"MedicinalProductDefinition.statusDate","","","",0,1,"","","Y","dateTime {[]} {[]}
","The date at which the given status became applicable","The date at which the given status became applicable.","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.statusDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"MedicinalProductDefinition.description","","","",0,1,"","","Y","markdown {[]} {[]}
","General description of this product","General description of this product.","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"MedicinalProductDefinition.combinedPharmaceuticalDoseForm","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The dose form for a single part product, or combined form of a multiple part product","The dose form for a single part product, or combined form of a multiple part product. This is one concept that describes all the components. It does not represent the form with components physically mixed, if that might be necessary, for which see (AdministrableProductDefinition.administrableDoseForm).","","","","","","","","","",,"example","Dose forms for a product as a whole, considering all individual parts, but before any mixing","http://hl7.org/fhir/ValueSet/combined-dose-form","",,,,"MedicinalProductDefinition.combinedPharmaceuticalDoseForm",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Medicinal Product.Combined Pharmaceutical Dose Form"
"MedicinalProductDefinition.route","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The path by which the product is taken into or makes contact with the body","The path by which the product is taken into or makes contact with the body. In some regions this is referred to as the licenced or approved route. See also AdministrableProductDefinition resource. MedicinalProductDefinition.route is the same concept as AdministrableProductDefinition.routeOfAdministration.code, and they cannot be used together.","","","","","","","","","",,"example","A code specifying the route or physiological path of administration of a therapeutic agent into or onto a patient's body.","http://hl7.org/fhir/ValueSet/route-codes","",,,,"MedicinalProductDefinition.route",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Pharmaceutical Product.Route of Administration"
"MedicinalProductDefinition.indication","","","",0,1,"","","Y","markdown {[]} {[]}
","Description of indication(s) for this product, used when structured indications are not required","Description of indication(s) for this product, used when structured indications are not required. In cases where structured indications are required, they are captured using the ClinicalUseDefinition resource. An indication is a medical situation for which using the product is appropriate.","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.indication",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(roll up of all text in Therapeutic Indication.Indication Text, for common case where information is not granular)"
"MedicinalProductDefinition.legalStatusOfSupply","","","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","The legal status of supply of the medicinal product as classified by the regulator","The legal status of supply of the medicinal product as classified by the regulator.","","","","","","","","","",,"example","The prescription supply types appropriate to a medicinal product","http://hl7.org/fhir/ValueSet/legal-status-of-supply","",,,,"MedicinalProductDefinition.legalStatusOfSupply",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorisation.Legal Status of Supply (moved here for practicality)"
"MedicinalProductDefinition.additionalMonitoringIndicator","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Whether the Medicinal Product is subject to additional monitoring for regulatory reasons","Whether the Medicinal Product is subject to additional monitoring for regulatory reasons, such as heightened reporting requirements.","","","","","","","","","",,"example","Extra measures defined for a Medicinal Product, such as heightened reporting requirements (e.g. Black Triangle Monitoring).","http://hl7.org/fhir/ValueSet/medicinal-product-additional-monitoring","",,,,"MedicinalProductDefinition.additionalMonitoringIndicator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Medicinal Product.Additional Monitoring Indicator"
"MedicinalProductDefinition.specialMeasures","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Whether the Medicinal Product is subject to special measures for regulatory reasons","Whether the Medicinal Product is subject to special measures for regulatory reasons, such as a requirement to conduct post-authorisation studies.","","","","","","","","","",,"example","Extra measures defined for a Medicinal Product, such as a requirement to conduct post-authorisation studies.","http://hl7.org/fhir/ValueSet/medicinal-product-special-measures","",,,,"MedicinalProductDefinition.specialMeasures",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Medicinal Product.Special Measures"
"MedicinalProductDefinition.pediatricUseIndicator","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","If authorised for use in children","If authorised for use in children, or infants, neonates etc.","","","","","","","","","",,"example","Suitability for age groups, in particular children.","http://hl7.org/fhir/ValueSet/medicinal-product-pediatric-use","",,,,"MedicinalProductDefinition.pediatricUseIndicator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Medicinal Product.Pediatric Use Indicator"
"MedicinalProductDefinition.classification","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Allows the product to be classified by various systems","Allows the product to be classified by various systems, commonly WHO ATC.","","","","","","","","","",,"example","This value set includes codes from the Anatomical Therapeutic Chemical Classification System - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/product-classification-codes","",,,,"MedicinalProductDefinition.classification",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Product Classification.Value"
"MedicinalProductDefinition.marketingStatus","","","",0,*,"","","Y","MarketingStatus {[]} {[]}
","Marketing status of the medicinal product, in contrast to marketing authorization","Marketing status of the medicinal product, in contrast to marketing authorization. This refers to the product being actually 'on the market' as opposed to being allowed to be on the market (which is an authorization).","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.marketingStatus",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Status"
"MedicinalProductDefinition.packagedMedicinalProduct","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Package type for the product","Package type for the product. See also the PackagedProductDefinition resource.","","","","","","","","","",,"example","Types of medicinal product packs","http://hl7.org/fhir/ValueSet/medicinal-product-package-type","",,,,"MedicinalProductDefinition.packagedMedicinalProduct",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Packaged Medicinal Product"
"MedicinalProductDefinition.ingredient","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The ingredients of this medicinal product - when not detailed in other resources","The ingredients of this medicinal product - when not detailed in other resources. This is only needed if the ingredients are not specified by incoming references from the Ingredient resource, or indirectly via incoming AdministrableProductDefinition, PackagedProductDefinition or ManufacturedItemDefinition references. In cases where those levels of detail are not used, the ingredients may be specified directly here as codes.","","","","","","","","","",,"example","This value set includes all substance codes from SNOMED CT - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/substance-codes","",,,,"MedicinalProductDefinition.ingredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Medicinal Product.Ingredient (see also FHIR Ingredient resource)"
"MedicinalProductDefinition.impurity","","","",0,*,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceDefinition]]}
","Any component of the drug product which is not the chemical entity defined as the drug substance, or an excipient in the drug product","Any component of the drug product which is not the chemical entity defined as the drug substance, or an excipient in the drug product. This includes process-related impurities and contaminants, product-related impurities including degradation products.","","","","","","","","","",,"example","This value set includes all substance codes from SNOMED CT - provided as an exemplar value set.","http://hl7.org/fhir/ValueSet/substance-codes","",,,,"MedicinalProductDefinition.impurity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"MedicinalProductDefinition.attachedDocument","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Additional documentation about the medicinal product","Additional information or supporting documentation about the medicinal product.","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.attachedDocument",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Attached Document"
"MedicinalProductDefinition.masterFile","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","A master file for the medicinal product (e.g. Pharmacovigilance System Master File)","A master file for the medicinal product (e.g. Pharmacovigilance System Master File). Drug master files (DMFs) are documents submitted to regulatory agencies to provide confidential detailed information about facilities, processes or articles used in the manufacturing, processing, packaging and storing of drug products.","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.masterFile",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Master File"
"MedicinalProductDefinition.contact","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","A product specific contact, person (in a role), or an organization","A product specific contact, person (in a role), or an organization.","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.contact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"MedicinalProductDefinition.contact.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MedicinalProductDefinition.contact.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MedicinalProductDefinition.contact.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://build.fhir.org/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
